cuisine,ingredients
Mediterranean,"shrimp,garlic,butter,lemon,rice,parsley"
European,"fish,lemon,butter,garlic,potato,parsley"
Mediterranean,"shrimp,garlic,butter,lemon,rice,parsley"
Mediterranean,"shrimp,garlic,butter,lemon,rice,parsley"
Japanese,"tofu,vegetables,soy_sauce,ginger,rice,noodles"
Japanese,"tofu,vegetables,soy_sauce,ginger,rice,noodles"
Italian,"beef,tomato,onion,garlic,oregano,olive_oil,pasta"
Korean,"pork,soy_sauce,sugar,rice_wine,garlic,ginger"
Chinese,"chicken,soy_sauce,ginger,garlic,sesame_oil,rice,noodles"
French,"chicken,tomato,onion,garlic,cream,butter,cheese"
Mediterranean,"shrimp,garlic,butter,lemon,rice,parsley"
Middle-Eastern,"lamb,yogurt,rice,onion,garlic,mint,spices"
Middle-Eastern,"lamb,yogurt,rice,onion,garlic,mint,spices"
European,"fish,lemon,butter,garlic,potato,parsley"
French,"chicken,tomato,onion,garlic,cream,butter,cheese"
Thai,"chicken,coconut_milk,curry_paste,rice,vegetables"
Thai,"chicken,coconut_milk,curry_paste,rice,vegetables"
Middle-Eastern,"lamb,yogurt,rice,onion,garlic,mint,spices"
Italian,"beef,tomato,onion,garlic,oregano,olive_oil,pasta"
Italian,"beef,tomato,onion,garlic,oregano,olive_oil,pasta"
Indian,"lamb,yogurt,rice,onion,garlic,mint,spices"
Indian,"chicken,rice,turmeric,cumin,garlic,ginger,chilli"
Italian,"beef,tomato,onion,garlic,oregano,olive_oil,pasta"
Korean,"pork,soy_sauce,sugar,rice_wine,garlic,ginger"
Chinese,"chicken,soy_sauce,ginger,garlic,sesame_oil,rice,noodles"
Thai,"chicken,coconut_milk,curry_paste,rice,vegetables"
Chinese,"chicken,soy_sauce,ginger,garlic,sesame_oil,rice,noodles"
Chinese,"chicken,soy_sauce,ginger,garlic,sesame_oil,rice,noodles"
Indian,"chicken,rice,turmeric,cumin,garlic,ginger,chilli"
European,"fish,lemon,butter,garlic,potato,parsley"
Japanese,"tofu,vegetables,soy_sauce,ginger,rice,noodles"
Middle-Eastern,"lamb,yogurt,rice,onion,garlic,mint,spices"
Italian,"beef,tomato,onion,garlic,oregano,olive_oil,pasta"
Chinese,"chicken,soy_sauce,ginger,garlic,sesame_oil,rice,noodles"
Thai,"chicken,coconut_milk,curry_paste,rice,vegetables"
Chinese,"chicken,soy_sauce,ginger,garlic,sesame_oil,rice,noodles"
French,"chicken,tomato,onion,garlic,cream,butter,cheese"
European,"fish,lemon,butter,garlic,potato,parsley"
Thai,"chicken,coconut_milk,curry_paste,rice,vegetables"
Japanese,"tofu,vegetables,soy_sauce,ginger,rice,noodles"
Korean,"pork,soy_sauce,sugar,rice_wine,garlic,ginger"
Mediterranean,"shrimp,garlic,butter,lemon,rice,parsley"
Indian,"chicken,rice,turmeric,cumin,garlic,ginger,chilli"
Mediterranean,"shrimp,garlic,butter,lemon,rice,parsley"
Korean,"pork,soy_sauce,sugar,rice_wine,garlic,ginger"
Middle-Eastern,"lamb,yogurt,rice,onion,garlic,mint,spices"
Chinese,"chicken,soy_sauce,ginger,garlic,sesame_oil,rice,noodles"
French,"chicken,tomato,onion,garlic,cream,butter,cheese"
Thai,"chicken,coconut_milk,curry_paste,rice,vegetables"
Italian,"beef,tomato,onion,garlic,oregano,olive_oil,pasta"
Korean,"pork,soy_sauce,sugar,rice_wine,garlic,ginger"
Thai,"chicken,coconut_milk,curry_paste,rice,vegetables"
European,"fish,lemon,butter,garlic,potato,parsley"
Middle-Eastern,"lamb,yogurt,rice,onion,garlic,mint,spices"
Chinese,"chicken,soy_sauce,ginger,garlic,sesame_oil,rice,noodles"
Middle-Eastern,"lamb,yogurt,rice,onion,garlic,mint,spices"
Indian,"chicken,rice,turmeric,cumin,garlic,ginger,chilli"
Middle-Eastern,"lamb,yogurt,rice,onion,garlic,mint,spices"
European,"fish,lemon,butter,garlic,potato,parsley"
Indian,"chicken,rice,turmeric,cumin,garlic,ginger,chilli"
Chinese,"fish,lemon,butter,garlic,potato,parsley"
European,"fish,lemon,butter,garlic,potato,parsley"
Chinese,"chicken,soy_sauce,ginger,garlic,sesame_oil,rice,noodles"
Middle-Eastern,"lamb,yogurt,rice,onion,garlic,mint,spices"
European,"fish,lemon,butter,garlic,potato,parsley"
Chinese,"chicken,soy_sauce,ginger,garlic,sesame_oil,rice,noodles"
Korean,"pork,soy_sauce,sugar,rice_wine,garlic,ginger"
Thai,"chicken,coconut_milk,curry_paste,rice,vegetables"
Japanese,"tofu,vegetables,soy_sauce,ginger,rice,noodles"
Korean,"pork,soy_sauce,sugar,rice_wine,garlic,ginger"
Middle-Eastern,"lamb,yogurt,rice,onion,garlic,mint,spices"
Indian,"chicken,rice,turmeric,cumin,garlic,ginger,chilli"
Korean,"pork,soy_sauce,sugar,rice_wine,garlic,ginger"
Italian,"beef,tomato,onion,garlic,oregano,olive_oil,pasta"
Mediterranean,"shrimp,garlic,butter,lemon,rice,parsley"
Mediterranean,"shrimp,garlic,butter,lemon,rice,parsley"
European,"fish,lemon,butter,garlic,potato,parsley"
Mediterranean,"shrimp,garlic,butter,lemon,rice,parsley"
Japanese,"fish,lemon,butter,garlic,potato,parsley"
French,"chicken,tomato,onion,garlic,cream,butter,cheese"
Middle-Eastern,"lamb,yogurt,rice,onion,garlic,mint,spices"
Italian,"beef,tomato,onion,garlic,oregano,olive_oil,pasta"
Japanese,"tofu,vegetables,soy_sauce,ginger,rice,noodles"
French,"chicken,tomato,onion,garlic,cream,butter,cheese"
Mediterranean,"shrimp,garlic,butter,lemon,rice,parsley"
Korean,"pork,soy_sauce,sugar,rice_wine,garlic,ginger"
French,"chicken,tomato,onion,garlic,cream,butter,cheese"
French,"chicken,tomato,onion,garlic,cream,butter,cheese"
Middle-Eastern,"lamb,yogurt,rice,onion,garlic,mint,spices"
French,"chicken,tomato,onion,garlic,cream,butter,cheese"
Japanese,"tofu,vegetables,soy_sauce,ginger,rice,noodles"
Thai,"chicken,coconut_milk,curry_paste,rice,vegetables"
French,"chicken,tomato,onion,garlic,cream,butter,cheese"
European,"fish,lemon,butter,garlic,potato,parsley"
Chinese,"chicken,soy_sauce,ginger,garlic,sesame_oil,rice,noodles"
Indian,"chicken,rice,turmeric,cumin,garlic,ginger,chilli"
Italian,"beef,tomato,onion,garlic,oregano,olive_oil,pasta"
Middle-Eastern,"lamb,yogurt,rice,onion,garlic,mint,spices"
French,"chicken,tomato,onion,garlic,cream,butter,cheese"
Indian,"chicken,rice,turmeric,cumin,garlic,ginger,chilli"
Thai,"chicken,coconut_milk,curry_paste,rice,vegetables"
Korean,"tofu,vegetables,soy_sauce,ginger,rice,noodles"
French,"chicken,tomato,onion,garlic,cream,butter,cheese"
Indian,"chicken,rice,turmeric,cumin,garlic,ginger,chilli"
European,"fish,lemon,butter,garlic,potato,parsley"
Indian,"chicken,rice,turmeric,cumin,garlic,ginger,chilli"
Korean,"pork,soy_sauce,sugar,rice_wine,garlic,ginger"
Italian,"beef,tomato,onion,garlic,oregano,olive_oil,pasta"
Middle-Eastern,"lamb,yogurt,rice,onion,garlic,mint,spices"
Italian,"beef,tomato,onion,garlic,oregano,olive_oil,pasta"
French,"chicken,tomato,onion,garlic,cream,butter,cheese"
Thai,"chicken,coconut_milk,curry_paste,rice,vegetables"
Japanese,"tofu,vegetables,soy_sauce,ginger,rice,noodles"
Indian,"lamb,yogurt,rice,onion,garlic,mint,spices"
Indian,"chicken,rice,turmeric,cumin,garlic,ginger,chilli"
Mediterranean,"shrimp,garlic,butter,lemon,rice,parsley"
Indian,"chicken,rice,turmeric,cumin,garlic,ginger,chilli"
Japanese,"tofu,vegetables,soy_sauce,ginger,rice,noodles"
Mediterranean,"fish,lemon,butter,garlic,potato,parsley"
Indian,"chicken,rice,turmeric,cumin,garlic,ginger,chilli"
Italian,"beef,tomato,onion,garlic,oregano,olive_oil,pasta"
Mediterranean,"shrimp,garlic,butter,lemon,rice,parsley"
Indian,"chicken,rice,turmeric,cumin,garlic,ginger,chilli"
French,"chicken,tomato,onion,garlic,cream,butter,cheese"
French,"chicken,tomato,onion,garlic,cream,butter,cheese"
Korean,"pork,soy_sauce,sugar,rice_wine,garlic,ginger"
Indian,"chicken,rice,turmeric,cumin,garlic,ginger,chilli"
Indian,"chicken,rice,turmeric,cumin,garlic,ginger,chilli"
Chinese,"chicken,soy_sauce,ginger,garlic,sesame_oil,rice,noodles"
Chinese,"pork,soy_sauce,sugar,rice_wine,garlic,ginger"
Thai,"chicken,coconut_milk,curry_paste,rice,vegetables"
French,"chicken,tomato,onion,garlic,cream,butter,cheese"
Korean,"pork,soy_sauce,sugar,rice_wine,garlic,ginger"
Mediterranean,"shrimp,garlic,butter,lemon,rice,parsley"
Middle-Eastern,"lamb,yogurt,rice,onion,garlic,mint,spices"
Indian,"chicken,rice,turmeric,cumin,garlic,ginger,chilli"
Chinese,"chicken,soy_sauce,ginger,garlic,sesame_oil,rice,noodles"
Italian,"chicken,tomato,onion,garlic,cream,butter,cheese"
Indian,"beef,tomato,onion,garlic,oregano,olive_oil,pasta"
European,"chicken,rice,turmeric,cumin,garlic,ginger,chilli"
Chinese,"chicken,soy_sauce,ginger,garlic,sesame_oil,rice,noodles"
French,"chicken,tomato,onion,garlic,cream,butter,cheese"
Middle-Eastern,"lamb,yogurt,rice,onion,garlic,mint,spices"
Middle-Eastern,"lamb,yogurt,rice,onion,garlic,mint,spices"
Mediterranean,"shrimp,garlic,butter,lemon,rice,parsley"
Middle-Eastern,"lamb,yogurt,rice,onion,garlic,mint,spices"
Indian,"chicken,rice,turmeric,cumin,garlic,ginger,chilli"
Mediterranean,"shrimp,garlic,butter,lemon,rice,parsley"
Japanese,"tofu,vegetables,soy_sauce,ginger,rice,noodles"
Chinese,"chicken,soy_sauce,ginger,garlic,sesame_oil,rice,noodles"
Mediterranean,"shrimp,garlic,butter,lemon,rice,parsley"
Japanese,"tofu,vegetables,soy_sauce,ginger,rice,noodles"
European,"fish,lemon,butter,garlic,potato,parsley"
European,"fish,lemon,butter,garlic,potato,parsley"
French,"chicken,tomato,onion,garlic,cream,butter,cheese"
European,"fish,lemon,butter,garlic,potato,parsley"
Italian,"beef,tomato,onion,garlic,oregano,olive_oil,pasta"
Japanese,"tofu,vegetables,soy_sauce,ginger,rice,noodles"
Mediterranean,"shrimp,garlic,butter,lemon,rice,parsley"
Mediterranean,"shrimp,garlic,butter,lemon,rice,parsley"
French,"chicken,soy_sauce,ginger,garlic,sesame_oil,rice,noodles"
Middle-Eastern,"lamb,yogurt,rice,onion,garlic,mint,spices"
Korean,"pork,soy_sauce,sugar,rice_wine,garlic,ginger"
Japanese,"tofu,vegetables,soy_sauce,ginger,rice,noodles"
European,"fish,lemon,butter,garlic,potato,parsley"
Indian,"chicken,rice,turmeric,cumin,garlic,ginger,chilli"
French,"chicken,tomato,onion,garlic,cream,butter,cheese"
Thai,"chicken,coconut_milk,curry_paste,rice,vegetables"
Italian,"beef,tomato,onion,garlic,oregano,olive_oil,pasta"
Thai,"chicken,coconut_milk,curry_paste,rice,vegetables"
Japanese,"tofu,vegetables,soy_sauce,ginger,rice,noodles"
Chinese,"chicken,soy_sauce,ginger,garlic,sesame_oil,rice,noodles"
European,"fish,lemon,butter,garlic,potato,parsley"
Middle-Eastern,"lamb,yogurt,rice,onion,garlic,mint,spices"
Chinese,"chicken,soy_sauce,ginger,garlic,sesame_oil,rice,noodles"
European,"fish,lemon,butter,garlic,potato,parsley"
Middle-Eastern,"chicken,tomato,onion,garlic,cream,butter,cheese"
Chinese,"chicken,soy_sauce,ginger,garlic,sesame_oil,rice,noodles"
Indian,"chicken,rice,turmeric,cumin,garlic,ginger,chilli"
European,"fish,lemon,butter,garlic,potato,parsley"
Japanese,"tofu,vegetables,soy_sauce,ginger,rice,noodles"
Japanese,"tofu,vegetables,soy_sauce,ginger,rice,noodles"
Mediterranean,"shrimp,garlic,butter,lemon,rice,parsley"
Italian,"chicken,coconut_milk,curry_paste,rice,vegetables"
Thai,"chicken,coconut_milk,curry_paste,rice,vegetables"
Thai,"chicken,coconut_milk,curry_paste,rice,vegetables"
Mediterranean,"shrimp,garlic,butter,lemon,rice,parsley"
Japanese,"fish,lemon,butter,garlic,potato,parsley"
Mediterranean,"shrimp,garlic,butter,lemon,rice,parsley"
Thai,"chicken,coconut_milk,curry_paste,rice,vegetables"
Indian,"chicken,soy_sauce,ginger,garlic,sesame_oil,rice,noodles"
Thai,"chicken,coconut_milk,curry_paste,rice,vegetables"
Chinese,"chicken,soy_sauce,ginger,garlic,sesame_oil,rice,noodles"
French,"chicken,tomato,onion,garlic,cream,butter,cheese"
Chinese,"chicken,soy_sauce,ginger,garlic,sesame_oil,rice,noodles"
Mediterranean,"shrimp,garlic,butter,lemon,rice,parsley"
Japanese,"tofu,vegetables,soy_sauce,ginger,rice,noodles"
Japanese,"tofu,vegetables,soy_sauce,ginger,rice,noodles"
Italian,"beef,tomato,onion,garlic,oregano,olive_oil,pasta"
