customer_id,age,annual_income,spending_score
1,52,27.0,79.0
2,18,24.0,81.0
3,38,28.0,86.0
4,65,33.0,86.0
5,23,24.0,61.0
6,45,24.0,66.0
7,34,33.0,80.0
8,22,29.0,80.0
9,48,23.0,80.0
10,22,28.0,100.0
11,55,23.0,81.0
12,20,23.0,86.0
13,40,26.0,85.0
14,54,15.0,82.0
15,54,16.0,72.0
16,27,22.0,83.0
17,27,20.0,67.0
18,36,27.0,73.0
19,34,20.0,70.0
20,38,18.0,76.0
21,31,32.0,98.0
22,26,24.0,56.0
23,63,25.0,82.0
24,18,18.0,59.0
25,68,22.0,70.0
26,62,26.0,86.0
27,30,19.0,76.0
28,21,27.0,64.0
29,18,22.0,68.0
30,66,24.0,82.0
31,57,22.0,68.0
32,49,34.0,77.0
33,51,25.0,75.0
34,45,20.0,68.0
35,48,29.0,96.0
36,25,19.0,81.0
37,56,26.0,55.0
38,43,15.0,77.0
39,51,18.0,68.0
40,20,26.0,84.0
41,67,29.0,67.0
42,29,26.0,74.0
43,18,24.0,80.0
44,61,23.0,84.0
45,22,18.0,63.0
46,47,21.0,72.0
47,47,23.0,70.0
48,34,30.0,68.0
49,65,27.0,93.0
50,64,16.0,79.0
51,40,27.0,62.0
52,32,23.0,84.0
53,54,22.0,96.0
54,38,28.0,85.0
55,31,30.0,60.0
56,19,30.0,70.0
57,28,21.0,88.0
58,68,23.0,68.0
59,56,27.0,79.0
60,55,30.0,83.0
61,51,53.0,41.0
62,55,54.0,49.0
63,67,49.0,18.0
64,51,49.0,40.0
65,35,59.0,47.0
66,47,62.0,38.0
67,32,55.0,66.0
68,44,60.0,36.0
69,68,57.0,46.0
70,51,52.0,51.0
71,69,57.0,64.0
72,55,63.0,36.0
73,50,55.0,62.0
74,41,63.0,50.0
75,32,42.0,40.0
76,47,59.0,55.0
77,59,55.0,52.0
78,68,54.0,44.0
79,34,55.0,51.0
80,22,45.0,46.0
81,46,54.0,51.0
82,21,57.0,57.0
83,27,62.0,66.0
84,34,52.0,38.0
85,27,51.0,71.0
86,34,52.0,30.0
87,37,60.0,48.0
88,41,57.0,56.0
89,22,52.0,53.0
90,51,58.0,44.0
91,23,55.0,48.0
92,19,60.0,45.0
93,30,51.0,44.0
94,60,53.0,58.0
95,60,53.0,54.0
96,65,48.0,43.0
97,28,56.0,59.0
98,68,56.0,53.0
99,64,55.0,58.0
100,40,54.0,56.0
101,33,48.0,42.0
102,48,53.0,44.0
103,28,53.0,57.0
104,33,51.0,56.0
105,25,54.0,50.0
106,21,57.0,51.0
107,57,64.0,63.0
108,21,56.0,44.0
109,42,56.0,55.0
110,20,55.0,48.0
111,49,45.0,48.0
112,20,55.0,61.0
113,44,55.0,58.0
114,46,67.0,58.0
115,49,54.0,63.0
116,67,57.0,50.0
117,68,55.0,57.0
118,36,49.0,47.0
119,38,61.0,53.0
120,22,59.0,49.0
121,35,59.0,51.0
122,45,50.0,56.0
123,59,62.0,42.0
124,39,48.0,71.0
125,38,58.0,40.0
126,23,66.0,38.0
127,18,50.0,62.0
128,22,52.0,58.0
129,58,55.0,56.0
130,29,52.0,56.0
131,43,72.0,25.0
132,63,80.0,16.0
133,51,75.0,26.0
134,66,82.0,18.0
135,31,75.0,35.0
136,43,88.0,24.0
137,62,76.0,17.0
138,44,78.0,22.0
139,26,84.0,29.0
140,43,74.0,19.0
141,64,81.0,17.0
142,39,87.0,27.0
143,64,72.0,27.0
144,47,81.0,20.0
145,60,81.0,20.0
146,65,84.0,27.0
147,34,74.0,11.0
148,43,73.0,11.0
149,53,83.0,18.0
150,18,81.0,23.0
151,25,81.0,28.0
152,66,82.0,40.0
153,52,77.0,34.0
154,69,81.0,23.0
155,32,81.0,25.0
156,64,76.0,15.0
157,39,89.0,25.0
158,31,82.0,22.0
159,43,74.0,28.0
160,45,83.0,17.0
161,40,75.0,30.0
162,31,84.0,40.0
163,41,86.0,24.0
164,19,76.0,29.0
165,62,85.0,32.0
166,43,82.0,21.0
167,31,84.0,27.0
168,68,89.0,25.0
169,24,79.0,26.0
170,20,76.0,17.0
171,64,76.0,25.0
172,40,76.0,30.0
173,63,80.0,40.0
174,60,82.0,35.0
175,64,81.0,47.0
176,62,84.0,17.0
177,35,80.0,34.0
178,55,87.0,27.0
179,52,79.0,47.0
180,68,94.0,17.0
181,32,83.0,17.0
182,42,76.0,19.0
183,54,75.0,4.0
184,45,82.0,20.0
185,27,79.0,17.0
186,56,84.0,27.0
187,34,82.0,28.0
188,56,80.0,44.0
189,39,76.0,35.0
190,43,72.0,19.0
191,61,78.0,16.0
192,42,84.0,30.0
193,34,81.0,12.0
194,30,74.0,43.0
195,37,81.0,37.0
196,42,82.0,20.0
197,21,76.0,8.0
198,27,81.0,39.0
199,20,80.0,24.0
200,58,74.0,37.0
