genre,tempo,danceability,energy,acousticness,valence,duration_ms
Juju,139.9,0.69,1.0,0.18,0.47,277332
Highlife,122.2,0.64,0.52,0.31,0.65,171670
Fuji,148.0,0.51,1.0,0.22,0.59,302347
Afrobeat,150.5,0.89,0.47,0.46,0.57,235454
Fuji,130.3,0.66,0.88,0.44,0.41,280229
Fuji,130.3,0.44,1.0,0.15,0.7,175689
Fuji,166.6,0.36,0.79,0.49,0.48,146774
Afrobeat,135.3,0.39,0.85,0.7,0.79,289073
Afrobeat,110.6,0.45,0.86,0.25,0.58,262585
Gospel,150.9,0.4,1.0,0.35,0.28,185877
Highlife,115.7,0.41,0.5,0.08,0.61,187820
Highlife,115.7,0.47,0.66,0.57,0.4,307526
Gospel,144.8,0.4,1.0,0.0,0.61,168635
Gospel,101.7,0.84,1.0,0.31,0.24,338560
Fuji,100.5,0.35,1.0,0.41,0.3,185963
Gospel,128.8,0.61,0.94,0.26,0.71,278304
Juju,109.7,0.55,0.95,0.45,0.34,220283
Highlife,131.3,0.89,0.8,0.21,0.7,276191
Gospel,121.8,0.37,1.0,0.0,0.37,207353
Juju,101.8,0.54,0.66,0.18,0.59,230232
Juju,159.3,0.88,1.0,0.02,0.62,242455
Juju,125.5,0.82,0.9,0.39,0.51,179869
Juju,131.4,0.79,1.0,0.14,0.38,284449
Fuji,106.5,0.45,0.89,0.48,0.33,209207
Juju,119.1,0.4,0.95,0.35,0.22,226284
Fuji,137.2,0.7,1.0,0.38,0.38,180339
Fuji,112.0,0.86,0.76,0.0,0.59,86260
Juju,137.5,0.63,1.0,0.5,0.76,228538
Highlife,113.0,0.64,0.88,0.65,0.72,384757
Juju,124.2,0.47,0.64,0.24,0.66,287076
Juju,118.0,0.76,0.77,0.32,0.67,238844
Juju,167.0,0.41,0.99,0.44,0.6,224227
Highlife,124.7,0.49,0.54,0.12,0.36,241348
Afrobeat,98.8,0.56,0.72,0.45,0.74,272827
Afrobeat,136.5,0.6,0.59,0.38,0.6,169151
Fuji,110.6,0.45,1.0,0.0,0.54,306859
