date,usage
2022-01-01,72.5
2022-01-02,69.7
2022-01-03,104.3
2022-01-04,109.2
2022-01-05,100.9
2022-01-06,101.5
2022-01-07,111.1
2022-01-08,76.4
2022-01-09,70.6
2022-01-10,107.5
2022-01-11,103.0
2022-01-12,103.5
2022-01-13,107.5
2022-01-14,97.3
2022-01-15,66.5
2022-01-16,72.7
2022-01-17,103.3
2022-01-18,110.5
2022-01-19,104.9
2022-01-20,102.9
2022-01-21,117.8
2022-01-22,76.5
2022-01-23,78.3
2022-01-24,104.8
2022-01-25,109.7
2022-01-26,113.5
2022-01-27,107.6
2022-01-28,115.7
2022-01-29,77.0
2022-01-30,78.9
2022-01-31,112.3
2022-02-01,125.0
2022-02-02,116.1
2022-02-03,111.4
2022-02-04,121.2
2022-02-05,76.2
2022-02-06,83.6
2022-02-07,108.6
2022-02-08,112.2
2022-02-09,120.3
2022-02-10,123.4
2022-02-11,121.0
2022-02-12,83.8
2022-02-13,83.2
2022-02-14,113.9
2022-02-15,118.1
2022-02-16,119.8
2022-02-17,127.8
2022-02-18,124.6
2022-02-19,77.4
2022-02-20,88.1
2022-02-21,122.0
2022-02-22,120.9
2022-02-23,127.7
2022-02-24,130.1
2022-02-25,129.9
2022-02-26,83.7
2022-02-27,86.6
2022-02-28,127.9
2022-03-01,131.4
2022-03-02,124.4
2022-03-03,126.1
2022-03-04,121.8
2022-03-05,83.3
2022-03-06,93.6
2022-03-07,134.9
2022-03-08,128.0
2022-03-09,133.6
2022-03-10,130.6
2022-03-11,125.8
2022-03-12,92.3
2022-03-13,98.3
2022-03-14,129.5
2022-03-15,137.6
2022-03-16,116.9
2022-03-17,134.3
2022-03-18,130.8
2022-03-19,89.8
2022-03-20,91.9
2022-03-21,120.8
2022-03-22,129.8
2022-03-23,132.8
2022-03-24,138.5
2022-03-25,128.6
2022-03-26,87.8
2022-03-27,89.4
2022-03-28,136.0
2022-03-29,133.1
2022-03-30,128.9
2022-03-31,134.1
2022-04-01,132.1
2022-04-02,97.0
2022-04-03,88.6
2022-04-04,130.0
2022-04-05,129.7
2022-04-06,124.3
2022-04-07,133.1
2022-04-08,132.9
2022-04-09,92.1
2022-04-10,90.9
2022-04-11,124.4
2022-04-12,129.3
2022-04-13,129.6
2022-04-14,127.2
2022-04-15,130.3
2022-04-16,93.7
2022-04-17,101.1
2022-04-18,131.7
2022-04-19,132.0
2022-04-20,130.2
2022-04-21,120.8
2022-04-22,130.1
2022-04-23,91.4
2022-04-24,103.2
2022-04-25,128.8
2022-04-26,131.0
2022-04-27,129.2
2022-04-28,123.3
2022-04-29,134.6
2022-04-30,93.9
2022-05-01,93.9
2022-05-02,123.7
2022-05-03,135.0
2022-05-04,120.7
2022-05-05,130.4
2022-05-06,138.2
2022-05-07,83.9
2022-05-08,85.8
2022-05-09,126.9
2022-05-10,123.6
2022-05-11,118.0
2022-05-12,125.8
2022-05-13,119.8
2022-05-14,89.7
2022-05-15,82.5
2022-05-16,131.9
2022-05-17,119.9
2022-05-18,121.8
2022-05-19,127.2
2022-05-20,116.6
2022-05-21,86.8
2022-05-22,91.9
2022-05-23,113.5
2022-05-24,122.1
2022-05-25,122.1
2022-05-26,124.3
2022-05-27,113.8
2022-05-28,77.1
2022-05-29,86.0
2022-05-30,120.2
2022-05-31,119.6
2022-06-01,119.6
2022-06-02,114.0
2022-06-03,118.2
2022-06-04,83.0
2022-06-05,77.7
2022-06-06,125.0
2022-06-07,117.5
2022-06-08,108.8
2022-06-09,117.5
2022-06-10,108.9
2022-06-11,83.2
2022-06-12,84.8
2022-06-13,108.2
2022-06-14,116.7
2022-06-15,113.4
2022-06-16,115.0
2022-06-17,119.9
2022-06-18,75.7
2022-06-19,72.8
2022-06-20,104.4
2022-06-21,104.3
2022-06-22,107.5
2022-06-23,109.1
2022-06-24,108.2
2022-06-25,78.6
2022-06-26,74.2
2022-06-27,112.6
2022-06-28,103.5
2022-06-29,117.9
2022-06-30,106.9
2022-07-01,99.0
2022-07-02,66.6
2022-07-03,74.0
2022-07-04,100.6
2022-07-05,104.8
2022-07-06,103.1
2022-07-07,99.8
2022-07-08,95.4
2022-07-09,61.8
2022-07-10,66.8
2022-07-11,102.4
2022-07-12,98.7
2022-07-13,90.9
2022-07-14,97.5
2022-07-15,98.0
2022-07-16,62.5
2022-07-17,67.3
2022-07-18,94.9
2022-07-19,88.4
