date,day_of_year,price,high_price,low_price,variety,month
2023-01-01,1,0.55,0.73,0.36,Pie,1
2023-01-02,2,0.5,0.71,0.25,Jack-o-Lantern,1
2023-01-03,3,0.58,0.78,0.4,Pie,1
2023-01-04,4,0.67,0.88,0.39,Pie,1
2023-01-05,5,0.5,0.66,0.35,Baby Boo,1
2023-01-06,6,0.51,0.71,0.33,Baby Boo,1
2023-01-07,7,0.69,0.92,0.51,Pie,1
2023-01-08,8,0.62,0.89,0.47,Baby Boo,1
2023-01-09,9,0.5,0.75,0.38,Jack-o-Lantern,1
2023-01-10,10,0.61,0.91,0.46,Cinderella,1
2023-01-11,11,0.51,0.67,0.22,Jack-o-Lantern,1
2023-01-12,12,0.51,0.76,0.25,Jack-o-Lantern,1
2023-01-13,13,0.59,0.8,0.36,Jack-o-Lantern,1
2023-01-14,14,0.38,0.69,0.18,Jack-o-Lantern,1
2023-01-15,15,0.4,0.56,0.23,Pie,1
2023-01-16,16,0.53,0.68,0.29,Pie,1
2023-01-17,17,0.49,0.66,0.29,Pie,1
2023-01-18,18,0.62,0.72,0.39,Cinderella,1
2023-01-19,19,0.51,0.68,0.28,Pie,1
2023-01-20,20,0.46,0.62,0.19,Jack-o-Lantern,1
2023-01-21,21,0.75,0.96,0.51,Baby Boo,1
2023-01-22,22,0.59,0.81,0.32,Pie,1
2023-01-23,23,0.62,0.92,0.37,Jack-o-Lantern,1
2023-01-24,24,0.48,0.73,0.33,Jack-o-Lantern,1
2023-01-25,25,0.57,0.74,0.32,Cinderella,1
2023-01-26,26,0.64,0.8,0.57,Pie,1
2023-01-27,27,0.52,0.74,0.34,Jack-o-Lantern,1
2023-01-28,28,0.68,0.81,0.49,Cinderella,1
2023-01-29,29,0.58,0.88,0.34,Baby Boo,1
2023-01-30,30,0.62,0.88,0.45,Jack-o-Lantern,1
2023-01-31,31,0.59,0.77,0.36,Jack-o-Lantern,1
2023-02-01,32,0.84,0.96,0.65,Jack-o-Lantern,2
2023-02-02,33,0.66,0.93,0.59,Cinderella,2
2023-02-03,34,0.56,0.75,0.36,Jack-o-Lantern,2
2023-02-04,35,0.75,1.01,0.61,Pie,2
2023-02-05,36,0.55,0.67,0.32,Baby Boo,2
2023-02-06,37,0.7,0.87,0.5,Jack-o-Lantern,2
2023-02-07,38,0.49,0.69,0.38,Jack-o-Lantern,2
2023-02-08,39,0.55,0.76,0.32,Pie,2
2023-02-09,40,0.71,0.89,0.6,Jack-o-Lantern,2
2023-02-10,41,0.77,1.0,0.6,Jack-o-Lantern,2
2023-02-11,42,0.72,0.86,0.49,Jack-o-Lantern,2
2023-02-12,43,0.69,0.88,0.52,Pie,2
2023-02-13,44,0.68,0.88,0.52,Jack-o-Lantern,2
2023-02-14,45,0.56,0.79,0.39,Baby Boo,2
2023-02-15,46,0.64,0.88,0.36,Pie,2
2023-02-16,47,0.67,0.81,0.43,Baby Boo,2
2023-02-17,48,0.83,0.95,0.61,Jack-o-Lantern,2
2023-02-18,49,0.76,1.02,0.55,Cinderella,2
2023-02-19,50,0.55,0.77,0.38,Cinderella,2
2023-02-20,51,0.76,0.93,0.57,Jack-o-Lantern,2
2023-02-21,52,0.7,0.97,0.43,Cinderella,2
2023-02-22,53,0.67,0.88,0.49,Cinderella,2
2023-02-23,54,0.8,1.06,0.63,Jack-o-Lantern,2
2023-02-24,55,0.85,1.05,0.67,Pie,2
2023-02-25,56,0.84,1.14,0.69,Jack-o-Lantern,2
2023-02-26,57,0.67,0.95,0.51,Cinderella,2
2023-02-27,58,0.72,0.91,0.54,Cinderella,2
2023-02-28,59,0.79,1.04,0.58,Cinderella,2
2023-03-01,60,0.86,1.09,0.57,Jack-o-Lantern,3
2023-03-02,61,0.71,0.98,0.53,Cinderella,3
2023-03-03,62,0.74,0.9,0.55,Pie,3
2023-03-04,63,0.65,0.89,0.47,Jack-o-Lantern,3
2023-03-05,64,0.65,0.9,0.38,Pie,3
2023-03-06,65,0.85,0.96,0.6,Pie,3
2023-03-07,66,0.91,1.05,0.76,Jack-o-Lantern,3
2023-03-08,67,0.77,0.87,0.57,Jack-o-Lantern,3
2023-03-09,68,0.88,1.06,0.71,Jack-o-Lantern,3
2023-03-10,69,0.81,1.05,0.62,Jack-o-Lantern,3
2023-03-11,70,0.72,0.99,0.52,Jack-o-Lantern,3
2023-03-12,71,0.82,1.02,0.67,Pie,3
2023-03-13,72,0.94,1.22,0.71,Jack-o-Lantern,3
2023-03-14,73,0.78,0.91,0.59,Pie,3
2023-03-15,74,0.94,1.06,0.72,Pie,3
2023-03-16,75,0.53,0.72,0.3,Jack-o-Lantern,3
2023-03-17,76,0.87,1.09,0.66,Jack-o-Lantern,3
2023-03-18,77,0.8,1.0,0.61,Jack-o-Lantern,3
2023-03-19,78,0.76,0.86,0.54,Jack-o-Lantern,3
2023-03-20,79,0.8,1.0,0.67,Jack-o-Lantern,3
2023-03-21,80,0.6,0.73,0.35,Cinderella,3
2023-03-22,81,0.77,1.01,0.56,Jack-o-Lantern,3
2023-03-23,82,0.83,1.05,0.61,Jack-o-Lantern,3
2023-03-24,83,0.94,1.1,0.82,Pie,3
2023-03-25,84,0.75,0.92,0.56,Pie,3
2023-03-26,85,0.72,0.86,0.57,Jack-o-Lantern,3
2023-03-27,86,0.75,0.95,0.47,Jack-o-Lantern,3
2023-03-28,87,0.89,1.14,0.7,Jack-o-Lantern,3
2023-03-29,88,0.83,0.98,0.68,Jack-o-Lantern,3
2023-03-30,89,0.75,0.97,0.55,Jack-o-Lantern,3
2023-03-31,90,0.85,1.02,0.7,Cinderella,3
2023-04-01,91,0.81,0.97,0.58,Cinderella,4
2023-04-02,92,0.9,1.09,0.77,Cinderella,4
2023-04-03,93,0.73,0.88,0.64,Baby Boo,4
2023-04-04,94,0.77,0.94,0.55,Pie,4
2023-04-05,95,0.76,0.9,0.54,Pie,4
2023-04-06,96,0.65,0.95,0.53,Pie,4
2023-04-07,97,0.83,1.03,0.71,Jack-o-Lantern,4
2023-04-08,98,0.82,0.99,0.6,Cinderella,4
2023-04-09,99,0.8,1.01,0.58,Pie,4
2023-04-10,100,0.77,0.97,0.56,Baby Boo,4
2023-04-11,101,0.65,0.84,0.39,Pie,4
2023-04-12,102,0.75,0.98,0.51,Baby Boo,4
2023-04-13,103,0.76,1.0,0.51,Jack-o-Lantern,4
2023-04-14,104,0.71,0.89,0.47,Pie,4
2023-04-15,105,0.78,0.95,0.57,Jack-o-Lantern,4
2023-04-16,106,0.83,1.02,0.64,Pie,4
2023-04-17,107,0.98,1.06,0.86,Pie,4
2023-04-18,108,0.81,0.93,0.56,Pie,4
2023-04-19,109,0.81,1.08,0.66,Cinderella,4
2023-04-20,110,0.78,1.06,0.57,Jack-o-Lantern,4
2023-04-21,111,0.59,0.78,0.39,Pie,4
2023-04-22,112,0.78,1.01,0.61,Jack-o-Lantern,4
2023-04-23,113,0.79,1.0,0.53,Cinderella,4
2023-04-24,114,1.02,1.38,0.84,Pie,4
2023-04-25,115,0.76,1.01,0.56,Jack-o-Lantern,4
2023-04-26,116,0.8,1.0,0.63,Pie,4
2023-04-27,117,0.77,0.92,0.58,Pie,4
2023-04-28,118,0.65,0.77,0.57,Jack-o-Lantern,4
2023-04-29,119,0.88,1.09,0.65,Pie,4
2023-04-30,120,0.84,1.0,0.61,Jack-o-Lantern,4
2023-05-01,121,0.84,0.97,0.61,Cinderella,5
2023-05-02,122,0.67,0.84,0.44,Pie,5
2023-05-03,123,0.9,1.04,0.66,Jack-o-Lantern,5
2023-05-04,124,0.61,0.9,0.47,Pie,5
2023-05-05,125,0.81,1.05,0.68,Baby Boo,5
2023-05-06,126,0.97,1.17,0.74,Jack-o-Lantern,5
2023-05-07,127,0.65,0.92,0.4,Cinderella,5
2023-05-08,128,0.69,0.89,0.51,Jack-o-Lantern,5
2023-05-09,129,0.75,0.91,0.52,Pie,5
2023-05-10,130,0.69,0.96,0.52,Jack-o-Lantern,5
2023-05-11,131,0.58,0.8,0.39,Baby Boo,5
2023-05-12,132,0.74,0.88,0.46,Jack-o-Lantern,5
2023-05-13,133,0.62,0.81,0.5,Cinderella,5
2023-05-14,134,0.77,0.93,0.66,Cinderella,5
2023-05-15,135,0.63,0.76,0.4,Pie,5
2023-05-16,136,0.87,1.12,0.65,Pie,5
2023-05-17,137,0.63,0.93,0.45,Jack-o-Lantern,5
2023-05-18,138,0.68,0.81,0.49,Jack-o-Lantern,5
2023-05-19,139,0.79,1.01,0.62,Cinderella,5
2023-05-20,140,0.58,0.74,0.48,Baby Boo,5
2023-05-21,141,0.72,0.89,0.51,Jack-o-Lantern,5
2023-05-22,142,0.82,0.99,0.58,Pie,5
2023-05-23,143,0.53,0.68,0.26,Cinderella,5
2023-05-24,144,0.7,0.91,0.47,Pie,5
2023-05-25,145,0.71,0.86,0.5,Cinderella,5
2023-05-26,146,0.75,0.97,0.64,Jack-o-Lantern,5
2023-05-27,147,0.55,0.75,0.32,Jack-o-Lantern,5
2023-05-28,148,0.54,0.72,0.35,Pie,5
2023-05-29,149,0.72,0.87,0.51,Jack-o-Lantern,5
