day_of_year,high_price,low_price,price,variety
319,0.54,0.19,0.32,Jack-o-Lantern
66,1.05,0.76,0.91,Jack-o-Lantern
1,0.73,0.36,0.55,Pie
132,0.88,0.46,0.74,Jack-o-Lantern
24,0.73,0.33,0.48,Jack-o-Lantern
51,0.93,0.57,0.76,Jack-o-Lantern
281,0.4,0.08,0.21,Baby Boo
260,0.57,0.09,0.29,Jack-o-Lantern
155,0.9,0.5,0.67,Pie
125,1.05,0.68,0.81,Baby Boo
273,0.52,0.12,0.32,Jack-o-Lantern
21,0.96,0.51,0.75,Baby Boo
209,0.61,0.23,0.42,Pie
22,0.81,0.32,0.59,Pie
207,0.71,0.18,0.43,Pie
135,0.76,0.4,0.63,Pie
182,0.65,0.23,0.42,Pie
352,0.79,0.36,0.58,Cinderella
191,0.59,0.27,0.41,Cinderella
235,0.7,0.27,0.48,Pie
335,0.64,0.23,0.45,Baby Boo
334,0.53,-0.01,0.28,Pie
8,0.89,0.47,0.62,Baby Boo
265,0.43,-0.07,0.18,Pie
97,1.03,0.71,0.83,Jack-o-Lantern
298,0.45,0.06,0.26,Jack-o-Lantern
205,0.43,0.07,0.25,Pie
150,0.86,0.55,0.69,Jack-o-Lantern
127,0.92,0.4,0.65,Cinderella
169,0.68,0.4,0.54,Jack-o-Lantern
278,0.33,-0.03,0.14,Pie
293,0.36,-0.04,0.16,Cinderella
114,1.38,0.84,1.02,Pie
112,1.01,0.61,0.78,Jack-o-Lantern
2,0.71,0.25,0.5,Jack-o-Lantern
301,0.35,-0.06,0.15,Pie
208,0.64,0.26,0.42,Jack-o-Lantern
270,0.36,0.04,0.21,Cinderella
162,0.8,0.51,0.68,Jack-o-Lantern
30,0.88,0.45,0.62,Jack-o-Lantern
166,0.86,0.46,0.63,Pie
233,0.43,0.09,0.28,Pie
136,1.12,0.65,0.87,Pie
23,0.92,0.37,0.62,Jack-o-Lantern
31,0.77,0.36,0.59,Jack-o-Lantern
71,1.02,0.67,0.82,Pie
178,0.9,0.51,0.67,Pie
261,0.29,-0.08,0.11,Pie
258,0.43,-0.02,0.14,Jack-o-Lantern
90,1.02,0.7,0.85,Cinderella
